name,path,invocation_count,number
clear_run_event_links_cache,larpmanager/cache/links.py,6,1
format_decimal,larpmanager/templatetags/show_tags.py,6,1
get_assoc_executives,larpmanager/models/access.py,6,1
get_char,larpmanager/utils/common.py,6,1
get_count,larpmanager/management/commands/automate.py,6,1
get_event,larpmanager/utils/event.py,6,1
get_event_staffers,larpmanager/models/access.py,6,1
get_handout,larpmanager/utils/common.py,6,1
get_media_filepath,larpmanager/models/event.py,6,1
get_media_filepath,larpmanager/models/event.py,6,2
has_assoc_permission,larpmanager/cache/role.py,6,1
has_different_cache_values,larpmanager/cache/character.py,6,1
init_orga_fields,larpmanager/forms/base.py,6,1
invoice_received_money,larpmanager/accounting/invoice.py,6,1
refresh_member_accounting_cache,larpmanager/cache/accounting.py,6,1
regs_list_add,larpmanager/views/orga/registration.py,6,1
remove_item_from_cache_section,larpmanager/cache/rels.py,6,1
reprint,larpmanager/utils/pdf.py,6,1
set_suggestion,larpmanager/utils/edit.py,6,1
update_cache_section,larpmanager/cache/rels.py,6,1
_extract_values,larpmanager/utils/download.py,5,1
_get_column_names,larpmanager/utils/download.py,5,1
_get_writing_mapping,larpmanager/models/form.py,5,1
backend_get,larpmanager/utils/edit.py,5,1
calculate_fiscal_code,larpmanager/utils/fiscal_code.py,5,1
check_field,larpmanager/utils/common.py,5,1
clear_event_features_cache,larpmanager/cache/feature.py,5,1
clear_event_relationships_cache,larpmanager/cache/rels.py,5,1
clear_registration_counts_cache,larpmanager/cache/registration.py,5,1
exec_bulk,larpmanager/utils/bulk.py,5,1
get_element_config,larpmanager/cache/config.py,5,1
get_filepath,larpmanager/models/writing.py,5,1
get_form_text,larpmanager/models/form.py,5,1
get_form_text,larpmanager/models/form.py,5,2
get_form_text,larpmanager/models/registration.py,5,1
get_index_assoc_permissions,larpmanager/utils/base.py,5,1
get_member,larpmanager/utils/common.py,5,1
get_payment_details,larpmanager/accounting/base.py,5,1
get_registration,larpmanager/utils/common.py,5,1
get_single_cache_text_field,larpmanager/cache/text_fields.py,5,1
get_warehouse_optionals,larpmanager/utils/miscellanea.py,5,1
get_writing_element_fields,larpmanager/cache/character.py,5,1
invert_dict,larpmanager/utils/upload.py,5,1
refresh_event_quest_relationships,larpmanager/cache/rels.py,5,1
replace_character_names_in_writing,larpmanager/models/writing.py,5,1
search,larpmanager/views/user/event.py,5,1
update_payment_details,larpmanager/utils/base.py,5,1
writing_edit_working_ticket,larpmanager/utils/edit.py,5,1
xhtml_pdf,larpmanager/utils/pdf.py,5,1
_get_help_questions,larpmanager/utils/common.py,4,1
_init_features,larpmanager/cache/association.py,4,1
_init_features,larpmanager/forms/feature.py,4,1
_init_writing_element,larpmanager/utils/event.py,4,1
_redirect_with_message,larpmanager/middleware/exception.py,4,1
_slugify,larpmanager/utils/fiscal_code.py,4,1
cancel_reg,larpmanager/accounting/registration.py,4,1
check_visibility,larpmanager/views/user/event.py,4,1
clear_registration_accounting_cache,larpmanager/cache/accounting.py,4,1
copy,larpmanager/views/orga/copy.py,4,1
correct_rels,larpmanager/views/orga/copy.py,4,1
get_applicable_inverse,larpmanager/models/form.py,4,1
get_attr,larpmanager/models/utils.py,4,1
get_character_element_fields,larpmanager/cache/character.py,4,1
get_character_relationships,larpmanager/utils/character.py,4,1
get_choice_options,larpmanager/forms/base.py,4,1
get_coming_runs,larpmanager/views/user/event.py,4,1
get_css_path,larpmanager/forms/association.py,4,1
get_css_path,larpmanager/forms/base.py,4,1
get_css_path,larpmanager/forms/event.py,4,1
get_editable,larpmanager/models/form.py,4,1
get_index_event_permissions,larpmanager/utils/event.py,4,1
get_instance_questions,larpmanager/models/form.py,4,1
get_instance_questions,larpmanager/models/form.py,4,2
get_members_queryset,larpmanager/forms/utils.py,4,1
get_or_create_index_tutorial,larpmanager/utils/tutorial_query.py,4,1
get_payment_form,larpmanager/accounting/payment.py,4,1
get_request_filepath,larpmanager/models/member.py,4,1
get_request_filepath,larpmanager/models/member.py,4,2
get_run_accounting,larpmanager/accounting/balance.py,4,1
get_run_choices,larpmanager/forms/utils.py,4,1
get_small_text,larpmanager/models/miscellanea.py,4,1
get_user_backend,larpmanager/views/user/member.py,4,1
has_ticket,larpmanager/forms/registration.py,4,1
html_clean,larpmanager/utils/common.py,4,1
info_accounting,larpmanager/accounting/member.py,4,1
max_length_validator,larpmanager/forms/base.py,4,1
normalize_string,larpmanager/utils/common.py,4,1
notify_organization_exe,larpmanager/mail/base.py,4,1
print_handout,larpmanager/utils/pdf.py,4,1
reset_features_cache,larpmanager/cache/wwyltd.py,4,1
round_to_nearest_cent,larpmanager/accounting/registration.py,4,1
round_to_nearest_cent,larpmanager/cache/accounting.py,4,1
_single_config,larpmanager/cache/config.py,4,1
skip,larpmanager/models/form.py,4,1
skip,larpmanager/models/form.py,4,2
update_m2m_related_characters,larpmanager/cache/rels.py,4,1
update_token_credit,larpmanager/accounting/token_credit.py,4,1
visible_writing_fields,larpmanager/cache/fields.py,4,1
_add_item,larpmanager/views/manage.py,3,1
_delete_optionals_warehouse,larpmanager/forms/miscellanea.py,3,1
_expand_val,larpmanager/utils/download.py,3,1
_get_fkey_config,larpmanager/cache/config.py,3,1
_get_registration_status,larpmanager/views/manage.py,3,1
_init_field,larpmanager/forms/base.py,3,1
_init_reg_question,larpmanager/forms/base.py,3,1
__features,larpmanager/forms/feature.py,3,1
__multi,larpmanager/forms/base.py,3,1
__multi,larpmanager/forms/character.py,3,1
__multi,larpmanager/forms/registration.py,3,1
__multi,larpmanager/forms/writing.py,3,1
assoc_accounting,larpmanager/accounting/balance.py,3,1
assoc_permission_feature_key,larpmanager/cache/permission.py,3,1
assoc_text_key,larpmanager/utils/text.py,3,1
assoc_text_key_def,larpmanager/utils/text.py,3,1
cache_configs_key,larpmanager/cache/config.py,3,1
cache_event_links,larpmanager/cache/links.py,3,1
character_form,larpmanager/views/user/character.py,3,1
check_branch,larpmanager/management/commands/utils.py,3,1
